Jan	1950	102526.4709																					
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	101883	102027	102150	102203	102188	102136	102087	102072	102116	102228	102391	102563	102691	102761	102798	102839	102899	102955	102967	102907	102791	
	42.5	101998	102105	102219	102312	102378	102427	102467	102506	102558	102635	102744	102871	102984	103057	103089	103101	103109	103110	103085	103020	102919	
	45	102230	102294	102382	102491	102619	102758	102893	103000	103073	103118	103157	103198	103240	103268	103277	103275	103268	103253	103213	103136	103024	
	47.5	102522	102559	102602	102673	102780	102926	103087	103230	103328	103370	103368	103343	103313	103291	103288	103306	103337	103357	103333	103246	103102	
	50	102738	102770	102789	102813	102866	102960	103087	103218	103321	103372	103365	103317	103258	103221	103231	103293	103386	103462	103470	103383	103209	
	52.5	102757	102813	102848	102874	102904	102954	103029	103117	103196	103242	103240	103205	103163	103150	103193	103295	103428	103536	103565	103488	103316	
	55	102571	102651	102726	102785	102829	102867	102905	102947	102986	103011	103018	103012	103011	103039	103112	103223	103345	103435	103457	103390	103253	
	57.5	102302	102377	102460	102538	102595	102632	102655	102673	102689	102709	102733	102763	102805	102863	102936	103014	103079	103109	103090	103022	102924	
	60	102075	102119	102176	102236	102289	102329	102361	102391	102427	102471	102528	102594	102663	102726	102775	102800	102792	102752	102684	102601	102521	102870.7249
Jan	1955																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102789	103128	103419	103578	103592	103521	103450	103436	103492	103595	103720	103856	103995	104123	104200	104187	104064	103851	103587	103317	103077	
	42.5	102816	103084	103346	103540	103658	103736	103820	103932	104054	104159	104228	104268	104294	104311	104305	104248	104122	103922	103667	103393	103136	
	45	102902	103042	103202	103369	103551	103759	103996	104235	104432	104549	104579	104545	104480	104405	104323	104221	104082	103894	103658	103395	103135	
	47.5	103031	103081	103148	103258	103433	103683	103985	104287	104530	104673	104704	104647	104539	104411	104283	104151	104004	103827	103610	103356	103089	
	50	103041	103079	103120	103198	103342	103563	103839	104126	104366	104518	104569	104535	104445	104330	104210	104093	103968	103817	103622	103380	103110	
	52.5	102809	102881	102952	103041	103170	103347	103562	103783	103977	104115	104187	104200	104172	104125	104072	104016	103945	103836	103675	103458	103211	
	55	102407	102506	102614	102730	102863	103015	103175	103334	103475	103588	103669	103726	103764	103794	103816	103821	103796	103724	103593	103415	103213	
	57.5	102000	102104	102227	102363	102508	102652	102792	102917	103029	103125	103209	103285	103355	103417	103463	103480	103453	103379	103260	103113	102964	
	60	101664	101763	101886	102029	102183	102336	102482	102613	102728	102826	102911	102986	103047	103090	103107	103085	103022	102924	102802	102678	102577	103508.873
Jan	1956																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102405	102658	102925	103101	103136	103080	103025	103030	103089	103147	103177	103199	103260	103372	103485	103531	103470	103316	103112	102890	102670	
	42.5	102543	102756	102996	103186	103296	103359	103425	103515	103607	103662	103671	103666	103677	103711	103730	103690	103572	103395	103187	102976	102768	
	45	102776	102908	103071	103240	103406	103576	103755	103922	104045	104093	104078	104028	103980	103930	103861	103751	103600	103421	103229	103026	102816	
	47.5	103073	103145	103232	103347	103501	103697	103916	104118	104255	104303	104271	104191	104089	103978	103859	103728	103589	103441	103268	103058	102812	
	50	103252	103308	103356	103420	103526	103682	103871	104053	104182	104236	104211	104128	104015	103895	103782	103686	103599	103500	103355	103141	102865	
	52.5	103188	103256	103306	103353	103423	103527	103658	103789	103893	103944	103939	103887	103808	103729	103668	103630	103606	103564	103466	103291	103048	
	55	102955	103034	103100	103156	103215	103280	103357	103434	103501	103544	103558	103547	103523	103501	103493	103504	103521	103526	103488	103393	103246	
	57.5	102719	102793	102863	102923	102974	103016	103055	103091	103127	103161	103189	103212	103230	103245	103264	103285	103306	103322	103320	103296	103244	
	60	102548	102605	102662	102712	102750	102780	102802	102825	102854	102890	102933	102977	103014	103038	103050	103050	103041	103030	103022	103017	103012	103365.1217
Jan	1957																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102337	102453	102581	102645	102618	102547	102510	102556	102671	102791	102871	102914	102963	103066	103226	103391	103494	103486	103373	103196	103005	
	42.5	102515	102623	102742	102820	102844	102846	102881	102970	103097	103225	103328	103419	103524	103657	103797	103895	103904	103805	103617	103378	103137	
	45	102658	102737	102831	102920	103005	103105	103234	103393	103558	103709	103836	103947	104051	104143	104203	104197	104109	103936	103699	103426	103154	
	47.5	102734	102782	102843	102922	103030	103178	103363	103568	103765	103931	104055	104141	104193	104210	104190	104125	104013	103851	103638	103384	103112	
	50	102668	102705	102746	102806	102903	103046	103229	103430	103618	103767	103865	103910	103916	103897	103868	103837	103797	103726	103602	103411	103168	
	52.5	102410	102453	102500	102559	102644	102763	102912	103074	103224	103341	103415	103447	103455	103467	103498	103555	103618	103651	103617	103493	103295	
	55	102028	102080	102142	102212	102295	102394	102507	102626	102737	102830	102898	102948	102997	103061	103154	103267	103380	103455	103457	103376	103225	
	57.5	101678	101723	101780	101845	101918	101999	102086	102176	102266	102348	102422	102493	102567	102649	102742	102836	102912	102950	102935	102873	102778	
	60	101426	101446	101476	101517	101567	101628	101700	101777	101859	101942	102022	102095	102159	102213	102255	102278	102280	102259	102221	102180	102152	102991.5344
Jan	1958																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102124	102329	102547	102710	102784	102800	102822	102903	103031	103154	103229	103267	103325	103439	103586	103686	103670	103528	103312	103093	102916	
	42.5	102310	102498	102708	102901	103058	103193	103322	103457	103576	103659	103706	103751	103831	103948	104053	104075	103971	103755	103489	103236	103031	
	45	102637	102778	102936	103107	103297	103507	103727	103932	104090	104190	104242	104281	104327	104367	104362	104274	104093	103842	103568	103310	103087	
	47.5	103018	103116	103202	103304	103447	103644	103880	104122	104327	104469	104543	104562	104538	104478	104375	104226	104038	103820	103586	103339	103092	
	50	103267	103347	103395	103442	103523	103660	103855	104076	104283	104433	104505	104494	104419	104306	104182	104065	103955	103834	103673	103454	103188	
