  1 Jan 2018	  40.0000    	  42.5000    	  45.0000    	  47.5000    	  50.0000    	  52.5000    	  55.0000    	  57.5000    	  60.0000    
  70.0000    	  102275.    	  102468.    	  102944.    	  103540.    	  103973.    	  104102.    	  103983.    	  103709.    	  103279.    
  72.5000    	  102457.    	  102700.    	  103211.    	  103819.    	  104228.    	  104312.    	  104170.    	  103862.    	  103414.    
  75.0000    	  102639.    	  102931.    	  103463.    	  104055.    	  104419.    	  104484.    	  104320.    	  103992.    	  103519.    
  77.5000    	  102794.    	  103143.    	  103685.    	  104231.    	  104555.    	  104606.    	  104437.    	  104099.    	  103616.    
  80.0000    	  102893.    	  103305.    	  103849.    	  104341.    	  104631.    	  104691.    	  104532.    	  104187.    	  103699.    
  82.5000    	  102935.    	  103402.    	  103934.    	  104382.    	  104675.    	  104760.    	  104618.    	  104268.    	  103793.    
  85.0000    	  102934.    	  103442.    	  103955.    	  104385.    	  104704.    	  104836.    	  104710.    	  104358.    	  103898.    
  87.5000    	  102925.    	  103451.    	  103932.    	  104378.    	  104753.    	  104938.    	  104815.    	  104457.    	  104021.    
  90.0000    	  102945.    	  103444.    	  103906.    	  104391.    	  104853.    	  105074.    	  104946.    	  104586.    	  104168.    
  92.5000    	  102998.    	  103446.    	  103895.    	  104441.    	  104969.    	  105224.    	  105085.    	  104723.    	  104333.    
  95.0000    	  103053.    	  103466.    	  103921.    	  104517.    	  105079.    	  105329.    	  105193.    	  104857.    	  104492.    
  97.5000    	  103090.    	  103493.    	  103969.    	  104575.    	  105117.    	  105346.    	  105227.    	  104950.    	  104628.    
 100.0000    	  103090.    	  103509.    	  104013.    	  104587.    	  105056.    	  105237.    	  105170.    	  104987.    	  104711.    
  102.500    	  103060.    	  103525.    	  104040.    	  104530.    	  104882.    	  105018.    	  105024.    	  104958.    	  104725.    
  105.000    	  103018.    	  103541.    	  104044.    	  104434.    	  104642.    	  104728.    	  104811.    	  104856.    	  104675.    
  107.500    	  102983.    	  103532.    	  104031.    	  104319.    	  104386.    	  104418.    	  104561.    	  104713.    	  104564.    
  110.000    	  102955.    	  103522.    	  104004.    	  104199.    	  104146.    	  104124.    	  104311.    	  104535.    	  104415.    
  112.500    	  102939.    	  103486.    	  103938.    	  104053.    	  103904.    	  103842.    	  104060.    	  104351.    	  104267.    
  115.000    	  102932.    	  103412.    	  103815.    	  103863.    	  103639.    	  103544.    	  103816.    	  104176.    	  104140.    
  117.500    	  102918.    	  103310.    	  103626.    	  103602.    	  103332.    	  103235.    	  103565.    	  104014.    	  104041.    
